method,training_period,holding_period,code,eligible,posterior_mean_sharpe,observations,posterior_standard_error,rank,group,selected
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159928.SZ,True,0.49502624087583363,13.0,0.1594275256175827,20,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,160644.SZ,True,0.48908291559371414,77.0,0.06550728788830766,21,global,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513880.SH,True,0.48619220138667607,74.0,0.06682194644938838,22,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513070.SH,True,0.48382017051968423,100.0,0.0574824118334543,23,hong_kong,True
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510210.SH,True,0.48315508812492214,10.0,0.18177534679353102,24,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512200.SH,True,0.48040980676822936,9.0,0.1916080394448477,25,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512660.SH,True,0.47628352778786964,8.0,0.20323101603196692,26,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159611.SZ,True,0.4559335972243689,11.0,0.17331599281477558,27,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515220.SH,True,0.43805586521343187,8.0,0.20323101603196692,28,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159851.SZ,True,0.41430837750652677,5.0,0.2570691607404843,29,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159949.SZ,True,0.36258377240750317,7.0,0.21726309495930923,30,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159981.SZ,True,0.3528050804266486,61.0,0.07359868662173268,31,commodity,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512880.SH,True,0.34880464056986754,6.0,0.23467096362747453,32,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512400.SH,True,0.3078080830053274,5.0,0.2570691607404843,33,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512040.SH,True,0.28187843094943016,11.0,0.17331599281477558,34,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512100.SH,True,0.2776759743771205,6.0,0.23467096362747453,35,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159920.SZ,True,0.27081749705713576,33.0,0.10006403510647793,36,hong_kong,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159967.SZ,True,0.2691607557940508,8.0,0.20323101603196692,37,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513100.SH,True,0.26835654236324513,28.0,0.10863154747965462,38,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512890.SH,True,0.24027681842982967,8.0,0.20323101603196692,39,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588000.SH,True,0.2183866618474209,4.0,0.2874120591672715,40,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,161226.SZ,True,0.21444569463709662,43.0,0.08765985623871779,41,commodity,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515210.SH,True,0.2069945070719616,5.0,0.2570691607404843,42,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159825.SZ,True,0.18304721645098226,7.0,0.21726309495930923,43,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513030.SH,True,0.17091521205620672,23.0,0.11985911422040187,44,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159869.SZ,True,0.07769246045364817,4.0,0.2874120591672715,45,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512800.SH,True,-0.0064459149204110664,5.0,0.2570691607404843,46,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512980.SH,True,-0.052746507821695876,2.0,0.40646203206393383,47,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,516150.SH,True,-0.08347565295610004,5.0,0.2570691607404843,48,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159865.SZ,True,-0.3696535798685679,2.0,0.40646203206393383,49,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159901.SZ,True,-0.37432406422883086,1.0,0.574824118334543,50,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510880.SH,True,-0.6008198188929039,2.0,0.40646203206393383,51,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,515880.SH,True,-0.6399543222035569,1.0,0.574824118334543,52,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510300.SH,True,-0.8362015443298279,1.0,0.574824118334543,53,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159201.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159206.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159209.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159326.SZ,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159329.SZ,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159509.SZ,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159518.SZ,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159529.SZ,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159687.SZ,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513120.SH,False,,,,,hong_kong,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513290.SH,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513310.SH,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513400.SH,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513730.SH,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513750.SH,False,,,,,hong_kong,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,520870.SH,False,,,,,global,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,563300.SH,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588200.SH,False,,,,,a_share,False
rolling_thompson_sampling,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588220.SH,False,,,,,a_share,False
