method,training_year,holding_year,code,eligible,estimated_contribution,locked,lock_order,rank,group,selected
rolling_sequential_forward,2022,2023,159796.SZ,True,-0.47908916118885747,False,,41,a_share,False
rolling_sequential_forward,2022,2023,510880.SH,True,-0.5306366216847245,False,,42,a_share,False
rolling_sequential_forward,2022,2023,588000.SH,True,-0.5468690704263957,False,,43,a_share,False
rolling_sequential_forward,2022,2023,159928.SZ,True,-0.5521365091219504,False,,44,a_share,False
rolling_sequential_forward,2022,2023,159851.SZ,True,-0.5797479491882068,False,,45,a_share,False
rolling_sequential_forward,2022,2023,512880.SH,True,-0.593699826529779,False,,46,a_share,False
rolling_sequential_forward,2022,2023,512980.SH,True,-0.637796705590101,False,,47,a_share,False
rolling_sequential_forward,2022,2023,512040.SH,True,-0.6426911670676434,False,,48,a_share,False
rolling_sequential_forward,2022,2023,159865.SZ,True,-0.654216375623894,False,,49,a_share,False
rolling_sequential_forward,2022,2023,159920.SZ,True,,False,,50,hong_kong,True
rolling_sequential_forward,2022,2023,513070.SH,True,,False,,51,hong_kong,True
rolling_sequential_forward,2022,2023,513180.SH,True,,False,,52,hong_kong,False
rolling_sequential_forward,2022,2023,515880.SH,True,,False,,53,a_share,False
rolling_sequential_forward,2022,2023,159201.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,159206.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,159209.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,159326.SZ,False,,False,,,a_share,False
rolling_sequential_forward,2022,2023,159329.SZ,False,,False,,,global,False
rolling_sequential_forward,2022,2023,159509.SZ,False,,False,,,global,False
rolling_sequential_forward,2022,2023,159518.SZ,False,,False,,,global,False
rolling_sequential_forward,2022,2023,159529.SZ,False,,False,,,global,False
rolling_sequential_forward,2022,2023,159687.SZ,False,,False,,,global,False
rolling_sequential_forward,2022,2023,513120.SH,False,,False,,,hong_kong,False
rolling_sequential_forward,2022,2023,513290.SH,False,,False,,,global,False
rolling_sequential_forward,2022,2023,513310.SH,False,,False,,,global,False
rolling_sequential_forward,2022,2023,513400.SH,False,,False,,,global,False
