method,training_year,holding_year,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2023,2024,515790.SH,True,-0.13764278424931503,8,92,0.23464190806327967,0.3722846923125947,-0.13764278424931503,0.10977432646938888,42,a_share,False
rolling_shapley,2023,2024,515210.SH,True,-0.15764176920105827,11,89,0.22097209498370762,0.3786138641847659,-0.15764176920105827,0.13603414301511754,43,a_share,False
rolling_shapley,2023,2024,159980.SZ,True,-0.16231912845244723,62,38,0.2995920007607195,0.46191112921316674,-0.16231912845244723,0.09887363886035964,44,commodity,False
rolling_shapley,2023,2024,513070.SH,True,-0.17453013725244948,29,71,0.23735687212341028,0.41188700937585976,-0.17453013725244948,0.12180266310093062,45,hong_kong,False
rolling_shapley,2023,2024,159967.SZ,True,-0.1808407520067828,8,92,0.19489977772640926,0.37574052973319205,-0.1808407520067828,0.23355921393006684,46,a_share,False
rolling_shapley,2023,2024,159611.SZ,True,-0.18444165960911,10,90,0.19527577592445047,0.37971743553356047,-0.18444165960911,0.1415770539055286,47,a_share,False
rolling_shapley,2023,2024,513290.SH,True,-0.19937586164717425,42,58,0.2456352698172884,0.44501113146446264,-0.19937586164717425,0.09895363446347799,48,global,False
rolling_shapley,2023,2024,159766.SZ,True,-0.21455261925452782,10,90,0.1681759122435744,0.3827285314981022,-0.21455261925452782,0.19709828295345547,49,a_share,False
rolling_shapley,2023,2024,512880.SH,True,-0.21833202205924734,7,93,0.1582244890575495,0.37655651111679683,-0.21833202205924734,0.1444340654805591,50,a_share,False
rolling_shapley,2023,2024,159870.SZ,True,-0.24843869445627487,8,92,0.1327096706728766,0.38114836512915146,-0.24843869445627487,0.14653622871931155,51,a_share,False
rolling_shapley,2023,2024,512660.SH,True,-0.2870843395788155,7,93,0.09428483376435107,0.38136917334316656,-0.2870843395788155,0.20084441885949714,52,a_share,False
rolling_shapley,2023,2024,160644.SZ,True,-0.30644917452341464,42,58,0.18353274834906896,0.4899819228724836,-0.30644917452341464,0.0964973107945559,53,global,False
rolling_shapley,2023,2024,512400.SH,True,-0.3624526716100658,9,91,0.03144133840748951,0.3938940100175553,-0.3624526716100658,0.10822738890493458,54,a_share,False
rolling_shapley,2023,2024,159825.SZ,True,-0.3644289061373773,7,93,0.022354386864888536,0.3867832930022658,-0.3644289061373773,0.15410354662858228,55,a_share,False
rolling_shapley,2023,2024,161226.SZ,True,-0.41643221982953216,71,29,0.24050792582208513,0.6569401456516173,-0.41643221982953216,0.10515306242842616,56,commodity,False
