training_year,trial,codes,sharpe
2019,42,159915.SZ|159920.SZ|159949.SZ|510180.SH|510880.SH|512040.SH|512100.SH|512170.SH|512660.SH|512800.SH|512880.SH|512890.SH|512980.SH|513500.SH|518880.SH,1.6446639566874592
2019,43,159901.SZ|159920.SZ|161226.SZ|164824.SZ|510050.SH|510300.SH|510880.SH|512100.SH|512170.SH|512200.SH|512880.SH|512890.SH|512980.SH|513100.SH|518880.SH,1.4345924125993224
2019,44,159915.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|164824.SZ|510050.SH|510210.SH|510880.SH|512100.SH|512660.SH|512800.SH|512880.SH|513030.SH|513500.SH,0.8368535929574027
2019,45,159915.SZ|160644.SZ|501018.SH|510050.SH|510210.SH|510880.SH|512040.SH|512200.SH|512400.SH|512660.SH|512880.SH|513100.SH|513500.SH|513880.SH|518880.SH,1.5538039671054138
2019,46,159901.SZ|159915.SZ|159949.SZ|160644.SZ|510180.SH|510500.SH|510880.SH|512040.SH|512100.SH|512170.SH|512660.SH|512980.SH|513500.SH|513880.SH|518880.SH,1.6569483759941546
2019,47,159901.SZ|159915.SZ|159949.SZ|501018.SH|510050.SH|510180.SH|510210.SH|510500.SH|512170.SH|512400.SH|512660.SH|512890.SH|513500.SH|513880.SH|518880.SH,1.5190311407354358
2019,48,159901.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|510050.SH|510210.SH|510300.SH|510500.SH|512040.SH|512100.SH|512170.SH|513100.SH|513880.SH|518880.SH,2.0048895014794526
2019,49,159901.SZ|159949.SZ|161226.SZ|164824.SZ|510180.SH|510300.SH|510500.SH|512040.SH|512100.SH|512170.SH|512660.SH|512890.SH|512980.SH|513030.SH|513100.SH,1.4728314286942301
2019,50,159901.SZ|159920.SZ|159928.SZ|510210.SH|510300.SH|510880.SH|512040.SH|512100.SH|512170.SH|512800.SH|512880.SH|512980.SH|513100.SH|513880.SH|518880.SH,1.946909213599593
2019,51,159915.SZ|159928.SZ|160644.SZ|161226.SZ|501018.SH|510050.SH|510210.SH|510300.SH|510500.SH|512040.SH|512100.SH|512170.SH|512800.SH|513500.SH|513880.SH,1.538095336369621
2019,52,159901.SZ|159920.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|510050.SH|510210.SH|512400.SH|512800.SH|512880.SH|512890.SH|513100.SH|513880.SH|518880.SH,1.3705282026822831
2019,53,159901.SZ|159915.SZ|159920.SZ|159949.SZ|160644.SZ|501018.SH|510180.SH|510210.SH|512100.SH|512170.SH|512800.SH|512880.SH|512980.SH|513030.SH|513880.SH,1.6172904768715068
2019,54,159915.SZ|159920.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|510210.SH|512200.SH|512660.SH|512890.SH|512980.SH|513030.SH|513100.SH|513500.SH|513880.SH,0.9665466466241219
2019,55,159915.SZ|159928.SZ|160644.SZ|164824.SZ|510050.SH|510180.SH|510210.SH|510500.SH|510880.SH|512100.SH|512400.SH|512880.SH|512890.SH|513100.SH|513500.SH,1.238807750236242
2019,56,159901.SZ|159915.SZ|159928.SZ|160644.SZ|510210.SH|510880.SH|512040.SH|512100.SH|512170.SH|512200.SH|512800.SH|512880.SH|512890.SH|513500.SH|518880.SH,2.0555355103184407
2019,57,159901.SZ|159915.SZ|160644.SZ|161226.SZ|510050.SH|510180.SH|510210.SH|510500.SH|512040.SH|512100.SH|512400.SH|512880.SH|512980.SH|513030.SH|513100.SH,1.634677537592215
2019,58,159928.SZ|159949.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510500.SH|510880.SH|512170.SH|512660.SH|513500.SH|518880.SH,1.0319822976759208
2019,59,159920.SZ|161226.SZ|164824.SZ|510180.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512200.SH|512800.SH|512890.SH|512980.SH|513500.SH|513880.SH,1.3847988539507308
2019,60,159915.SZ|159920.SZ|160644.SZ|161226.SZ|510500.SH|510880.SH|512100.SH|512170.SH|512200.SH|512400.SH|512800.SH|512890.SH|513030.SH|513100.SH|513500.SH,1.2453443360915455
2019,61,159915.SZ|159920.SZ|159928.SZ|159949.SZ|161226.SZ|510050.SH|510180.SH|510300.SH|510880.SH|512040.SH|512100.SH|512170.SH|513030.SH|513100.SH|513500.SH,1.6719987450415612
2019,62,159901.SZ|159920.SZ|159928.SZ|160644.SZ|510210.SH|510300.SH|512040.SH|512100.SH|512660.SH|512800.SH|512890.SH|512980.SH|513100.SH|513880.SH|518880.SH,1.731938500602329
2019,63,159901.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|164824.SZ|510050.SH|510300.SH|510880.SH|512400.SH|512660.SH|512800.SH|512890.SH|512980.SH|518880.SH,1.5453661162690666
2019,64,159901.SZ|159915.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|501018.SH|510050.SH|510210.SH|512100.SH|512170.SH|512200.SH|512890.SH|512980.SH|513100.SH,1.0234363136659375
2019,65,159901.SZ|159915.SZ|159920.SZ|159928.SZ|510180.SH|510300.SH|510500.SH|512100.SH|512400.SH|512660.SH|512800.SH|512890.SH|513030.SH|513500.SH|518880.SH,1.487365406129524
2019,66,159901.SZ|159920.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|501018.SH|510050.SH|510180.SH|510300.SH|510880.SH|512100.SH|512200.SH|512800.SH|513100.SH,0.5415615815666951
2019,67,159901.SZ|160644.SZ|161226.SZ|510210.SH|510300.SH|510500.SH|510880.SH|512040.SH|512100.SH|512660.SH|512880.SH|512980.SH|513030.SH|513100.SH|518880.SH,1.496961973072017
2019,68,159901.SZ|159920.SZ|159928.SZ|160644.SZ|161226.SZ|164824.SZ|510050.SH|510210.SH|510300.SH|510500.SH|512170.SH|512400.SH|512980.SH|513100.SH|518880.SH,1.5943508597877185
2019,69,159901.SZ|159928.SZ|161226.SZ|164824.SZ|510050.SH|510180.SH|512040.SH|512100.SH|512200.SH|512660.SH|512800.SH|512890.SH|513100.SH|513880.SH|518880.SH,1.4362308326879287
2019,70,159915.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|164824.SZ|510210.SH|510500.SH|510880.SH|512040.SH|512400.SH|512660.SH|512880.SH|513880.SH|518880.SH,1.2583607065818936
2019,71,159928.SZ|159949.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|512040.SH|512100.SH|512200.SH|512400.SH|512800.SH|512890.SH|512980.SH|513880.SH,1.395160216988893
2019,72,159901.SZ|159928.SZ|159949.SZ|161226.SZ|164824.SZ|510050.SH|510210.SH|510300.SH|512040.SH|512200.SH|512400.SH|512660.SH|513100.SH|513500.SH|518880.SH,1.4342056708954527
2019,73,159901.SZ|159920.SZ|159928.SZ|160644.SZ|501018.SH|510210.SH|512040.SH|512100.SH|512170.SH|512200.SH|512660.SH|512890.SH|513030.SH|513100.SH|513880.SH,1.061299083836828
2019,74,159901.SZ|159928.SZ|161226.SZ|164824.SZ|501018.SH|510180.SH|510210.SH|510300.SH|512040.SH|512400.SH|512660.SH|512800.SH|512880.SH|512890.SH|513880.SH,1.0628739774784117
2019,75,159901.SZ|159915.SZ|160644.SZ|161226.SZ|501018.SH|510500.SH|510880.SH|512100.SH|512170.SH|512400.SH|512880.SH|512980.SH|513030.SH|513100.SH|513500.SH,1.5128014659880737
2019,76,159901.SZ|159915.SZ|159920.SZ|159949.SZ|161226.SZ|501018.SH|510180.SH|510300.SH|510500.SH|512170.SH|512660.SH|512800.SH|512980.SH|513030.SH|518880.SH,1.4367219350745941
2019,77,159901.SZ|159928.SZ|159949.SZ|161226.SZ|510050.SH|510180.SH|510300.SH|510500.SH|512040.SH|512100.SH|512200.SH|512400.SH|512890.SH|512980.SH|513100.SH,1.2336996135082987
2019,78,159901.SZ|159915.SZ|159920.SZ|159949.SZ|510180.SH|510880.SH|512200.SH|512400.SH|512660.SH|512890.SH|512980.SH|513100.SH|513500.SH|513880.SH|518880.SH,1.7010290556254857
2019,79,159915.SZ|164824.SZ|510050.SH|510180.SH|510300.SH|512040.SH|512100.SH|512170.SH|512400.SH|512880.SH|512890.SH|513030.SH|513100.SH|513500.SH|513880.SH,1.809022933540373
2019,80,159901.SZ|159928.SZ|160644.SZ|501018.SH|510180.SH|510210.SH|510500.SH|512040.SH|512100.SH|512170.SH|512400.SH|512660.SH|512800.SH|513030.SH|513100.SH,1.2558311341992274
2019,81,159901.SZ|159920.SZ|159928.SZ|159949.SZ|160644.SZ|161226.SZ|501018.SH|510180.SH|510210.SH|510300.SH|512170.SH|512880.SH|512980.SH|513100.SH|513500.SH,0.9716402852208503
