training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2020,2021,159329.SZ,False,,,,,0,100,,False
2020,2021,159509.SZ,False,,,,,0,100,,False
2020,2021,159518.SZ,False,,,,,0,100,,False
2020,2021,159529.SZ,False,,,,,0,100,,False
2020,2021,159611.SZ,False,,,,,0,100,,False
2020,2021,159687.SZ,False,,,,,0,100,,False
2020,2021,159766.SZ,False,,,,,0,100,,False
2020,2021,159796.SZ,False,,,,,0,100,,False
2020,2021,159825.SZ,False,,,,,0,100,,False
2020,2021,159851.SZ,False,,,,,0,100,,False
2020,2021,159852.SZ,False,,,,,0,100,,False
2020,2021,159865.SZ,False,,,,,0,100,,False
2020,2021,159869.SZ,False,,,,,0,100,,False
2020,2021,159870.SZ,False,,,,,0,100,,False
2020,2021,513070.SH,False,,,,,0,100,,False
2020,2021,513120.SH,False,,,,,0,100,,False
2020,2021,513180.SH,False,,,,,0,100,,False
2020,2021,513290.SH,False,,,,,0,100,,False
2020,2021,513310.SH,False,,,,,0,100,,False
2020,2021,513400.SH,False,,,,,0,100,,False
2020,2021,513730.SH,False,,,,,0,100,,False
2020,2021,513750.SH,False,,,,,0,100,,False
2020,2021,515790.SH,False,,,,,0,100,,False
2020,2021,516150.SH,False,,,,,0,100,,False
2020,2021,520870.SH,False,,,,,0,100,,False
2020,2021,562500.SH,False,,,,,0,100,,False
2020,2021,563300.SH,False,,,,,0,100,,False
2020,2021,588000.SH,False,,,,,0,100,,False
2020,2021,588200.SH,False,,,,,0,100,,False
2020,2021,588220.SH,False,,,,,0,100,,False
2021,2022,501018.SH,True,0.624835144987429,0.10812343997881096,0.7027657921453054,0.07793064715787641,33,67,1,True
2021,2022,164824.SZ,True,0.3747954149382436,0.11942030037856187,0.5464830354604985,0.1716876205222549,30,70,2,True
2021,2022,515220.SH,True,0.3706789373511554,0.11103962848688494,0.5102403967879328,0.1395614594367773,39,61,3,True
2021,2022,159981.SZ,True,0.33726560238830905,0.11866142260481297,0.5134668546277781,0.17620125223946906,32,68,4,True
2021,2022,515210.SH,True,0.2825268139760905,0.11310708959693692,0.490370819206274,0.2078440052301835,27,73,5,True
2021,2022,160644.SZ,True,0.2297990543212541,0.14314441691119956,0.45417754520145603,0.22437849088020193,26,74,6,True
2021,2022,159980.SZ,True,0.2293943963858305,0.13223355989489072,0.4561720422931008,0.22677764590727031,25,75,7,True
2021,2022,512890.SH,True,0.21999154131619725,0.11298559319361826,0.42932066227241816,0.20932912095622092,34,66,8,True
2021,2022,513100.SH,True,0.17115533118252124,0.12395564940834466,0.4005118702078424,0.22935653902532116,32,68,9,True
2021,2022,512400.SH,True,0.12085996030711305,0.11369150276238932,0.3578508207910669,0.23699086048395385,39,61,10,True
2021,2022,159865.SZ,True,0.11025455196266976,0.1304095099234572,0.3668171589757303,0.25656260701306055,25,75,11,True
2021,2022,512170.SH,True,0.10343696386386542,0.15632559956556827,0.36584144645618166,0.26240448259231625,21,79,12,True
2021,2022,510180.SH,True,0.10225664858489489,0.12174939302204552,0.3485479336122117,0.24629128502731681,37,63,13,True
2021,2022,513500.SH,True,0.09675549630411268,0.12378211663312441,0.3441146527122778,0.24735915640816514,38,62,14,True
2021,2022,510880.SH,True,0.09670533811601606,0.12916867522668196,0.3469847147791384,0.25027937666312233,35,65,15,True
2021,2022,515880.SH,True,0.09638744879725628,0.12315875173007246,0.33713934184221894,0.24075189304496267,45,55,16,False
