method,training_period,holding_period,code,eligible,shapley_score,included_count,excluded_count,included_mean_sharpe,excluded_mean_sharpe,contribution,standard_error,rank,group,selected
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510500.SH,True,-0.10362514874485551,9,91,0.7454713637489758,0.8490965124938313,-0.10362514874485551,0.3898817043766249,34,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513310.SH,True,-0.10494467233628357,29,71,0.765259531748033,0.8702042040843165,-0.10494467233628357,0.19882314296988993,35,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513880.SH,True,-0.10664783902887665,23,77,0.7576514130545593,0.8642992520834359,-0.10664783902887665,0.22471170290372056,36,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510050.SH,True,-0.11349631134806848,8,92,0.7353536426665714,0.8488499540146399,-0.11349631134806848,0.2604041357478548,37,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512170.SH,True,-0.12636545095632212,9,91,0.724777688736541,0.8511431396928631,-0.12636545095632212,0.3281642043827581,38,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513080.SH,True,-0.1346661960321459,23,77,0.7360772781620419,0.8707434741941878,-0.1346661960321459,0.24952356211944376,39,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,515880.SH,True,-0.13864198280181206,9,91,0.7136060447571453,0.8522480275589573,-0.13864198280181206,0.2433174432408621,40,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513120.SH,True,-0.15367250826315726,51,49,0.7644707200578474,0.9181432283210047,-0.15367250826315726,0.18551648543986243,41,hong_kong,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,164824.SZ,True,-0.15666330365822034,32,68,0.7332392026192045,0.8899025062774248,-0.15666330365822034,0.18814449670347075,42,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,512040.SH,True,-0.17848099320012734,5,95,0.6702133055666734,0.8486942987668007,-0.17848099320012734,0.5231561861124228,43,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159851.SZ,True,-0.1827284433631161,9,91,0.6734873656463587,0.8562158090094748,-0.1827284433631161,0.4242912647866384,44,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513180.SH,True,-0.1876037498636276,39,61,0.7253319616899815,0.9129357115536091,-0.1876037498636276,0.18501319377092323,45,hong_kong,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159611.SZ,True,-0.1961856400140356,3,97,0.6494701782931798,0.8456558183072154,-0.1961856400140356,0.21586626284117325,46,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,510300.SH,True,-0.21412629607161127,7,93,0.640632793760196,0.8547590898318073,-0.21412629607161127,0.3480655163737406,47,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,513730.SH,True,-0.21631030867998358,37,63,0.7034947546384047,0.9198050633183883,-0.21631030867998358,0.1858774445162072,48,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,160644.SZ,True,-0.2273661614247683,26,74,0.6715192896524657,0.8988854510772339,-0.2273661614247683,0.19363304603422038,49,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,588220.SH,True,-0.23545208613017443,6,94,0.6184452881444303,0.8538973742746048,-0.23545208613017443,0.38263156729479764,50,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159949.SZ,True,-0.23761793336536252,6,94,0.6164093917433535,0.854027325108716,-0.23761793336536252,0.25964308498003397,51,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159518.SZ,True,-0.25400691980163426,20,80,0.6365647132654869,0.8905716330671212,-0.25400691980163426,0.2315610797551316,52,global,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159967.SZ,True,-0.27660942530601773,8,92,0.585289577825258,0.8618990031312758,-0.27660942530601773,0.1934190306197806,53,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,588000.SH,True,-0.2781341436021907,6,94,0.578324154120735,0.8564582977229257,-0.2781341436021907,0.372266234346415,54,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,516150.SH,True,-0.28357481240670435,12,88,0.5902244141888947,0.873799226595599,-0.28357481240670435,0.21534809332292335,55,a_share,False
rolling_shapley,2024-01-01/2024-06-30,2024-07-01/2024-12-31,159796.SZ,True,-0.2922844355284011,6,94,0.5650228797100973,0.8573073152384985,-0.2922844355284011,0.38287911166891364,56,a_share,False
