method,training_period,holding_period,code,eligible,excess_elite_frequency,elite_inclusion_rate,overall_inclusion_rate,rank,group,selected
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159825.SZ,True,-0.09,0.0,0.09,48,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159980.SZ,True,-0.10999999999999999,0.48,0.59,49,commodity,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159920.SZ,True,-0.12,0.36,0.48,50,hong_kong,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513030.SH,True,-0.13,0.24,0.37,51,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513880.SH,True,-0.13,0.6,0.73,52,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,161226.SZ,True,-0.19000000000000006,0.48,0.67,53,commodity,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159201.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159206.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159209.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159326.SZ,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159329.SZ,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159509.SZ,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159518.SZ,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159529.SZ,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159687.SZ,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513120.SH,False,,,,,hong_kong,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513290.SH,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513310.SH,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513400.SH,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513730.SH,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513750.SH,False,,,,,hong_kong,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,520870.SH,False,,,,,global,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,563300.SH,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588200.SH,False,,,,,a_share,False
rolling_elite_frequency,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588220.SH,False,,,,,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159985.SZ,True,0.31999999999999995,0.96,0.64,1,commodity,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,164824.SZ,True,0.25,0.96,0.71,2,global,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515220.SH,True,0.12000000000000001,0.2,0.08,3,a_share,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159870.SZ,True,0.12,0.24,0.12,4,a_share,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,516150.SH,True,0.1,0.2,0.1,5,a_share,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513100.SH,True,0.09999999999999998,0.6,0.5,6,global,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159766.SZ,True,0.09,0.16,0.07,7,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515790.SH,True,0.09,0.16,0.07,8,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159928.SZ,True,0.08000000000000002,0.2,0.12,9,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,160644.SZ,True,0.07999999999999996,0.72,0.64,10,global,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159852.SZ,True,0.06999999999999999,0.12,0.05,11,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159967.SZ,True,0.06,0.12,0.06,12,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512890.SH,True,0.04999999999999999,0.12,0.07,13,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,518880.SH,True,0.04999999999999993,0.84,0.79,14,commodity,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512400.SH,True,0.039999999999999994,0.12,0.08,15,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159851.SZ,True,0.03,0.12,0.09,16,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513180.SH,True,0.020000000000000018,0.28,0.26,17,hong_kong,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510180.SH,True,0.020000000000000004,0.08,0.06,18,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159611.SZ,True,0.01999999999999999,0.12,0.1,19,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512660.SH,True,0.009999999999999995,0.12,0.11,20,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159865.SZ,True,0.0,0.08,0.08,21,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159949.SZ,True,0.0,0.04,0.04,22,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510300.SH,True,0.0,0.08,0.08,23,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512170.SH,True,0.0,0.08,0.08,24,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513070.SH,True,0.0,0.4,0.4,25,hong_kong,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513120.SH,True,0.0,1.0,1.0,26,hong_kong,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513290.SH,True,0.0,0.56,0.56,27,global,True
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510210.SH,True,-0.019999999999999997,0.04,0.06,28,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510880.SH,True,-0.019999999999999997,0.04,0.06,29,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159915.SZ,True,-0.020000000000000004,0.08,0.1,30,a_share,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159920.SZ,True,-0.020000000000000018,0.32,0.34,31,hong_kong,False
rolling_elite_frequency,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159980.SZ,True,-0.020000000000000018,0.64,0.66,32,commodity,True
