method,training_year,holding_year,code,eligible,posterior_mean_sharpe,observations,rank,group,selected
rolling_ucb_sampling,2022,2023,159980.SZ,True,-0.08973674926952882,60.0,29,commodity,True
rolling_ucb_sampling,2022,2023,513100.SH,True,-0.09025847190725171,42.0,30,global,True
rolling_ucb_sampling,2022,2023,512100.SH,True,-0.10673062891440405,11.0,31,a_share,False
rolling_ucb_sampling,2022,2023,513500.SH,True,-0.10718326904060888,48.0,32,global,False
rolling_ucb_sampling,2022,2023,161226.SZ,True,-0.11457804304130487,70.0,33,commodity,False
rolling_ucb_sampling,2022,2023,588000.SH,True,-0.11735336572142527,11.0,34,a_share,False
rolling_ucb_sampling,2022,2023,510050.SH,True,-0.11863360683006166,7.0,35,a_share,False
rolling_ucb_sampling,2022,2023,159766.SZ,True,-0.1345330018606055,5.0,36,a_share,False
rolling_ucb_sampling,2022,2023,159981.SZ,True,-0.14409633688043522,59.0,37,commodity,False
rolling_ucb_sampling,2022,2023,159928.SZ,True,-0.15098077603116322,8.0,38,a_share,False
rolling_ucb_sampling,2022,2023,510880.SH,True,-0.15455127932343452,9.0,39,a_share,False
rolling_ucb_sampling,2022,2023,512200.SH,True,-0.15490831940163796,10.0,40,a_share,False
rolling_ucb_sampling,2022,2023,513880.SH,True,-0.15594955112293699,59.0,41,global,False
rolling_ucb_sampling,2022,2023,512040.SH,True,-0.17221130795728806,9.0,42,a_share,False
rolling_ucb_sampling,2022,2023,512980.SH,True,-0.21612277674369088,6.0,43,a_share,False
rolling_ucb_sampling,2022,2023,159870.SZ,True,-0.22940251648205018,8.0,44,a_share,False
rolling_ucb_sampling,2022,2023,512890.SH,True,-0.23007654330482716,5.0,45,a_share,False
rolling_ucb_sampling,2022,2023,512880.SH,True,-0.24409576663658505,5.0,46,a_share,False
rolling_ucb_sampling,2022,2023,159869.SZ,True,-0.2553058524022766,6.0,47,a_share,False
rolling_ucb_sampling,2022,2023,159865.SZ,True,-0.25884401246725175,8.0,48,a_share,False
rolling_ucb_sampling,2022,2023,512660.SH,True,-0.2884578508975087,7.0,49,a_share,False
rolling_ucb_sampling,2022,2023,515880.SH,True,-0.2984609538729588,6.0,50,a_share,False
rolling_ucb_sampling,2022,2023,159949.SZ,True,-0.3076136719362419,6.0,51,a_share,False
rolling_ucb_sampling,2022,2023,512800.SH,True,-0.329096874404573,5.0,52,a_share,False
rolling_ucb_sampling,2022,2023,159825.SZ,True,-0.38357331988169313,8.0,53,a_share,False
rolling_ucb_sampling,2022,2023,159201.SZ,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,159206.SZ,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,159209.SZ,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,159326.SZ,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,159329.SZ,False,,,,global,False
rolling_ucb_sampling,2022,2023,159509.SZ,False,,,,global,False
rolling_ucb_sampling,2022,2023,159518.SZ,False,,,,global,False
rolling_ucb_sampling,2022,2023,159529.SZ,False,,,,global,False
rolling_ucb_sampling,2022,2023,159687.SZ,False,,,,global,False
rolling_ucb_sampling,2022,2023,513120.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2022,2023,513290.SH,False,,,,global,False
rolling_ucb_sampling,2022,2023,513310.SH,False,,,,global,False
rolling_ucb_sampling,2022,2023,513400.SH,False,,,,global,False
rolling_ucb_sampling,2022,2023,513730.SH,False,,,,global,False
rolling_ucb_sampling,2022,2023,513750.SH,False,,,,hong_kong,False
rolling_ucb_sampling,2022,2023,520870.SH,False,,,,global,False
rolling_ucb_sampling,2022,2023,563300.SH,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,588200.SH,False,,,,a_share,False
rolling_ucb_sampling,2022,2023,588220.SH,False,,,,a_share,False
rolling_ucb_sampling,2023,2024,510880.SH,True,0.8976131196166595,9.0,1,a_share,True
rolling_ucb_sampling,2023,2024,512890.SH,True,0.876938838597838,13.0,2,a_share,True
rolling_ucb_sampling,2023,2024,159852.SZ,True,0.8593003280207228,10.0,3,a_share,True
rolling_ucb_sampling,2023,2024,515880.SH,True,0.8123941497928732,13.0,4,a_share,False
rolling_ucb_sampling,2023,2024,159869.SZ,True,0.7975414931060253,10.0,5,a_share,False
rolling_ucb_sampling,2023,2024,588000.SH,True,0.7888342092610885,11.0,6,a_share,False
rolling_ucb_sampling,2023,2024,510500.SH,True,0.7513048229426892,9.0,7,a_share,False
rolling_ucb_sampling,2023,2024,512980.SH,True,0.7400835250576776,12.0,8,a_share,False
rolling_ucb_sampling,2023,2024,512170.SH,True,0.7383023682764183,13.0,9,a_share,False
rolling_ucb_sampling,2023,2024,159825.SZ,True,0.7201733983239488,10.0,10,a_share,False
rolling_ucb_sampling,2023,2024,510210.SH,True,0.7034671185515428,12.0,11,a_share,False
rolling_ucb_sampling,2023,2024,510180.SH,True,0.6989720872208112,8.0,12,a_share,False
rolling_ucb_sampling,2023,2024,513500.SH,True,0.6830873646555579,48.0,13,global,True
rolling_ucb_sampling,2023,2024,512200.SH,True,0.6817139789049109,9.0,14,a_share,False
rolling_ucb_sampling,2023,2024,159985.SZ,True,0.670349454805965,66.0,15,commodity,True
rolling_ucb_sampling,2023,2024,513880.SH,True,0.6649743854914983,42.0,16,global,True
rolling_ucb_sampling,2023,2024,513120.SH,True,0.6622154062831336,62.0,17,hong_kong,True
rolling_ucb_sampling,2023,2024,515210.SH,True,0.6453544251786383,10.0,18,a_share,False
rolling_ucb_sampling,2023,2024,159870.SZ,True,0.6435624558920167,11.0,19,a_share,False
rolling_ucb_sampling,2023,2024,518880.SH,True,0.642676973691383,72.0,20,commodity,True
rolling_ucb_sampling,2023,2024,501018.SH,True,0.6294390881054707,79.0,21,commodity,True
rolling_ucb_sampling,2023,2024,513100.SH,True,0.629178804905005,46.0,22,global,True
rolling_ucb_sampling,2023,2024,159687.SZ,True,0.6165218988024069,40.0,23,global,True
rolling_ucb_sampling,2023,2024,513030.SH,True,0.6114700281034942,45.0,24,global,False
rolling_ucb_sampling,2023,2024,159920.SZ,True,0.6078538168760006,65.0,25,hong_kong,True
