method,training_period,holding_period,code,eligible,ridge_coefficient,rank,group,selected
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512890.SH,True,-0.08429366616472636,36,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,164824.SZ,True,-0.08481284744650132,37,global,True
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588000.SH,True,-0.08569227622432939,38,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510210.SH,True,-0.11077148759488423,39,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512660.SH,True,-0.12285953653957765,40,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513880.SH,True,-0.141161491182561,41,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159869.SZ,True,-0.14862849595502192,42,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512040.SH,True,-0.16320756078915175,43,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513030.SH,True,-0.1676015926691952,44,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,510880.SH,True,-0.17153091082513913,45,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512100.SH,True,-0.1723621832691611,46,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159920.SZ,True,-0.19278747255943657,47,hong_kong,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159766.SZ,True,-0.2139737146354445,48,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159981.SZ,True,-0.22265879979224504,49,commodity,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159865.SZ,True,-0.24712418973710393,50,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,512980.SH,True,-0.3069461366374413,51,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,161226.SZ,True,-0.34250375447756426,52,commodity,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159825.SZ,True,-0.4968278606580591,53,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159201.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159206.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159209.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159326.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159329.SZ,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159509.SZ,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159518.SZ,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159529.SZ,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,159687.SZ,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513120.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513290.SH,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513310.SH,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513400.SH,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513730.SH,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,513750.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,520870.SH,False,,,global,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,563300.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588200.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-01-01/2022-06-30,2022-07-01/2022-12-31,588220.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159985.SZ,True,0.5527548538849972,1,commodity,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,164824.SZ,True,0.3964719590393234,2,global,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159852.SZ,True,0.3332719757805736,3,a_share,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515220.SH,True,0.21148105817076318,4,a_share,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159851.SZ,True,0.16586559723142924,5,a_share,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159766.SZ,True,0.1578072908407176,6,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512200.SH,True,0.1426685418990156,7,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513180.SH,True,0.12996445337327014,8,hong_kong,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,516150.SH,True,0.09764105081721171,9,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159865.SZ,True,0.09511525133231404,10,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,160644.SZ,True,0.08975085534035955,11,global,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515790.SH,True,0.0757926905132761,12,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159949.SZ,True,0.06566131564231355,13,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159870.SZ,True,0.05297304272300919,14,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512800.SH,True,0.052074084481041664,15,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510180.SH,True,0.051554378238943974,16,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159967.SZ,True,0.0488115666538867,17,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159928.SZ,True,0.0341968208995491,18,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,588000.SH,True,0.017652241544447913,19,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513100.SH,True,0.0163692936367755,20,global,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512400.SH,True,0.01053477911177001,21,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159901.SZ,True,0.009029157353556104,22,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510500.SH,True,0.004076491494813212,23,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510210.SH,True,0.0026492901771347733,24,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513120.SH,True,0.0,25,hong_kong,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512660.SH,True,-0.006476090038324538,26,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510050.SH,True,-0.00936184496124621,27,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159796.SZ,True,-0.011848886440008718,28,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159981.SZ,True,-0.017720854003362436,29,commodity,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510300.SH,True,-0.019306813534953986,30,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512890.SH,True,-0.01951121522798376,31,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512880.SH,True,-0.019936729173655098,32,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512170.SH,True,-0.04795620903737972,33,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,161226.SZ,True,-0.054081773191167075,34,commodity,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515210.SH,True,-0.05419518850673164,35,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513070.SH,True,-0.05445912233405299,36,hong_kong,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513030.SH,True,-0.05502744350700851,37,global,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,510880.SH,True,-0.06806613710268186,38,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159920.SZ,True,-0.07550533103921563,39,hong_kong,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159980.SZ,True,-0.08312720193095953,40,commodity,True
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513080.SH,True,-0.0859455999522181,41,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,562500.SH,True,-0.09250646832987688,42,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513290.SH,True,-0.09608929741154978,43,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512040.SH,True,-0.09704365302405174,44,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513500.SH,True,-0.10459331823890258,45,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,518880.SH,True,-0.10728131352323712,46,commodity,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512100.SH,True,-0.11852606344331447,47,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159915.SZ,True,-0.12963131289068652,48,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,512980.SH,True,-0.13398322048921205,49,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159869.SZ,True,-0.14058846285811422,50,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513880.SH,True,-0.16093644890676495,51,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,515880.SH,True,-0.17069168781269947,52,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159611.SZ,True,-0.1849393549951063,53,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,501018.SH,True,-0.2905437112362565,54,commodity,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159825.SZ,True,-0.30428728703972957,55,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159201.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159206.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159209.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159326.SZ,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159329.SZ,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159509.SZ,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159518.SZ,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159529.SZ,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,159687.SZ,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513310.SH,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513400.SH,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513730.SH,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,513750.SH,False,,,hong_kong,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,520870.SH,False,,,global,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,563300.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,588200.SH,False,,,a_share,False
rolling_ridge_surrogate,2022-07-01/2022-12-31,2023-01-01/2023-06-30,588220.SH,False,,,a_share,False
